bioguide_id,chamber,job_type,congress_number,congress_start_date,congress_end_date,region_type,region_code,party_name,job_start_date,job_end_date,party_start_date,party_end_date
C000221,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,SD,Republican,,,,
C000228,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,TX,Democrat,,,,
C000263,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MI,Republican,,,,
C000264,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,NY,Democrat,1959-01-03,,,
C000275,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MI,Republican,,,,
C000338,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NM,Democrat,,,,
C000342,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,KY,Democrat,,,,
C000346,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,CO,Republican,1959-01-03,,,
C000365,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,IL,Republican,1959-01-03,,,
C000383,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MO,Democrat,,,,
C000388,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,ID,Democrat,,,,
C000389,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,IL,Republican,,,,
C000431,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,PA,Democrat,,,,
C000444,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,PA,Democrat,,,,
C000540,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,IA,Democrat,,,,
C000589,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,ME,Democrat,,,,
C000596,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,CA,Democrat,,,,
C000629,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,IL,Republican,,,,
C000645,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,MS,Democrat,1959-01-03,,,
C000709,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MA,Republican,,,,
C000725,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,OH,Democrat,,,,
C000736,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,NC,Democrat,1959-01-03,,,
C000758,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,KY,Republican,,,,
C000772,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,PA,Republican,1959-01-03,,,
C000802,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NH,Republican,,,,
C000869,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,FL,Republican,,,,
C000991,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NE,Republican,,,,
C001005,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,PA,Republican,,,,
C001006,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NE,Republican,,,,
C001011,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MA,Republican,,,,
C001014,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MO,Republican,,,,
D000001,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,CT,Democrat,,,,
D000004,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,PA,Republican,,,,
