94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
B001209,B001209,C000201,C000356,C000523,C000321,C000321,C000488,C000293,C000269,C000312,C000266,C000191,C000286,C000174,C000266,C000243,C000141,C000537,C001035,C001049,C001049,C001063,C001061,C001067
B001210,B001210,C000261,C000371,C000542,C000322,C000344,C000503,C000312,C000312,C000345,C000269,C000243,C000344,C000191,C000286,C000266,C000174,C000542,C001036,C001051,C001051,C001066,C001063,C001068
B001221,B001221,C000269,C000475,C000567,C000344,C000356,C000523,C000488,C000488,C000377,C000286,C000266,C000380,C000243,C000344,C000286,C000243,C000556,C001037,C001053,C001053,C001067,C001066,C001069
C000120,C000120,C000321,C000488,C000581,C000356,C000462,C000542,C000494,C000494,C000385,C000345,C000269,C000494,C000266,C000380,C000344,C000286,C000560,C001038,C001056,C001056,C001068,C001067,C001070
C000164,C000137,C000344,C000523,C000598,C000488,C000488,C000556,C000503,C000503,C000488,C000377,C000286,C000503,C000286,C000537,C000380,C000344,C000567,C001045,C001059,C001059,C001069,C001068,C001072
C000178,C000164,C000356,C000542,C000618,C000523,C000503,C000567,C000523,C000523,C000494,C000380,C000345,C000537,C000344,C000556,C000537,C000380,C000705,C001046,C001061,C001061,C001070,C001069,C001075
C000201,C000178,C000371,C000567,C000621,C000542,C000523,C000581,C000542,C000537,C000503,C000488,C000380,C000556,C000380,C000560,C000556,C000537,C000714,C001047,C001062,C001062,C001072,C001070,C001078
C000220,C000201,C000388,C000581,C000634,C000555,C000542,C000598,C000556,C000542,C000523,C000494,C000488,C000567,C000537,C000567,C000560,C000556,C000754,C001048,C001063,C001063,C001075,C001072,C001080
C000228,C000220,C000475,C000598,C000666,C000556,C000556,C000618,C000567,C000556,C000537,C000503,C000494,C000640,C000556,C000705,C000567,C000560,C000794,C001049,C001066,C001066,C001078,C001075,C001084
C000263,C000261,C000488,C000618,C000709,C000567,C000567,C000621,C000598,C000567,C000542,C000537,C000503,C000653,C000567,C000714,C000705,C000567,C000880,C001051,C001067,C001067,C001080,C001078,C001087
C000269,C000263,C000512,C000634,C000714,C000581,C000581,C000634,C000618,C000598,C000556,C000542,C000537,C000670,C000640,C000754,C000714,C000705,C000984,C001053,C001068,C001068,C001084,C001080,C001088
C000321,C000269,C000523,C000638,C000754,C000598,C000598,C000653,C000621,C000621,C000560,C000556,C000556,C000705,C000653,C000794,C000754,C000714,C001035,C001056,C001069,C001069,C001087,C001084,C001090
C000356,C000321,C000567,C000666,C000773,C000618,C000618,C000670,C000633,C000633,C000567,C000560,C000560,C000714,C000705,C000830,C000794,C000754,C001036,C001059,C001070,C001070,C001088,C001087,C001091
C000371,C000356,C000581,C000709,C000788,C000621,C000621,C000705,C000634,C000634,C000598,C000567,C000567,C000735,C000714,C000858,C000858,C000794,C001037,C001061,C001071,C001071,C001090,C001088,C001095
C000388,C000371,C000598,C000714,C000807,C000634,C000634,C000709,C000646,C000640,C000621,C000640,C000640,C000794,C000754,C000868,C000868,C000880,C001038,C001062,C001072,C001072,C001091,C001090,C001096
C000409,C000388,C000618,C000773,C000809,C000653,C000653,C000714,C000653,C000653,C000633,C000653,C000653,C000830,C000794,C000880,C000880,C000984,C001045,C001063,C001075,C001075,C001092,C001091,C001097
C000448,C000448,C000634,C000788,C000846,C000709,C000705,C000754,C000670,C000670,C000634,C000670,C000670,C000846,C000830,C000962,C000962,C001035,C001046,C001064,C001076,C001076,C001093,C001095,C001098
C000475,C000475,C000638,C000799,C000858,C000714,C000709,C000794,C000705,C000705,C000640,C000705,C000705,C000858,C000858,C000984,C000984,C001036,C001047,C001066,C001077,C001077,C001094,C001096,C001101
C000476,C000476,C000666,C000807,C000871,C000754,C000714,C000807,C000709,C000714,C000653,C000714,C000714,C000868,C000868,C000994,C001035,C001037,C001048,C001067,C001078,C001078,C001095,C001097,C001103
C000488,C000488,C000709,C000809,C000873,C000807,C000754,C000809,C000714,C000754,C000670,C000722,C000722,C000873,C000873,C001035,C001036,C001038,C001049,C001068,C001080,C001080,C001096,C001098,C001108
C000512,C000512,C000714,C000845,C000877,C000809,C000794,C000830,C000754,C000767,C000705,C000735,C000735,C000880,C000880,C001036,C001037,C001041,C001050,C001069,C001083,C001084,C001097,C001101,C001110
C000567,C000567,C000773,C000846,C000919,C000846,C000807,C000846,C000794,C000794,C000714,C000794,C000794,C000962,C000962,C001037,C001038,C001045,C001051,C001070,C001084,C001087,C001098,C001103,C001112
C000598,C000598,C000780,C000858,D000017,C000858,C000809,C000858,C000807,C000813,C000737,C000813,C000813,C000984,C000984,C001038,C001041,C001046,C001053,C001071,C001087,C001088,C001101,C001104,C001113
C000618,C000618,C000788,C000871,D000018,C000873,C000846,C000873,C000830,C000830,C000794,C000830,C000830,C000994,C000994,C001040,C001045,C001047,C001056,C001072,C001088,C001090,C001103,C001108,C001114
C000634,C000634,C000799,C000873,D000030,C000877,C000858,C000877,C000836,C000846,C000813,C000846,C000846,C001034,C001035,C001041,C001046,C001048,C001058,C001075,C001090,C001091,C001108,C001109,C001115
C000638,C000638,C000807,C000877,D000038,C000919,C000873,C000919,C000846,C000858,C000830,C000858,C000858,C001035,C001036,C001042,C001047,C001049,C001059,C001076,C001091,C001092,C001109,C001110,C001116
C000666,C000666,C000809,C000919,D000044,D000018,C000877,D000018,C000858,C000868,C000846,C000868,C000868,C001036,C001037,C001045,C001048,C001050,C001060,C001077,C001092,C001093,C001110,C001111,C001117
C000682,C000709,C000871,D000017,D000051,D000030,C000919,D000030,C000868,C000873,C000858,C000873,C000873,C001037,C001038,C001046,C001049,C001051,C001061,C001078,C001093,C001094,C001111,C001112,C001118
C000709,C000714,C000873,D000018,D000064,D000038,D000018,D000044,C000873,C000880,C000868,C000880,C000880,C001038,C001040,C001047,C001050,C001053,C001062,C001080,C001094,C001095,C001112,C001113,C001119
C000714,C000773,C000877,D000030,D000065,D000044,D000030,D000051,C000877,C000994,C000873,C000962,C000962,C001040,C001041,C001048,C001051,C001056,C001063,C001083,C001095,C001096,C001113,C001114,C001120
C000780,C000780,C000919,D000037,D000131,D000051,D000038,D000064,C000994,D000018,C000880,C000984,C000984,C001041,C001042,C001049,C001053,C001058,C001064,C001084,C001096,C001097,C001114,C001115,C001121
C000782,C000782,C000979,D000038,D000185,D000064,D000044,D000131,D000018,D000030,C000903,C000994,C000994,C001042,C001044,C001050,C001056,C001059,C001066,C001087,C001097,C001098,C001115,C001116,C001125
C000799,C000787,D000017,D000043,D000203,D000065,D000051,D000185,D000030,D000046,C000962,C001034,C001034,C001043,C001045,C001051,C001057,C001060,C001067,C001088,C001098,C001101,C001117,C001117,C001126
C000802,C000788,D000030,D000044,D000209,D000131,D000064,D000191,D000044,D000051,C000984,C001035,C001035,C001044,C001046,C001052,C001058,C001061,C001068,C001090,C001101,C001103,C001118,C001118,C001127
C000807,C000799,D000037,D000064,D000222,D000185,D000065,D000203,D000051,D000064,C000994,C001036,C001036,C001045,C001047,C001053,C001059,C001062,C001069,C001091,C001102,C001105,C001119,C001119,C001129
C000873,C000807,D000038,D000065,D000259,D000203,D000106,D000209,D000064,D000168,D000018,D000018,C001037,C001046,C001048,C001055,C001060,C001063,C001070,C001092,C001103,C001106,C001120,C001120,C001130
C000877,C000873,D000043,D000131,D000267,D000209,D000131,D000217,D000131,D000185,D000046,D000046,C001038,C001047,C001049,C001056,C001061,C001064,C001071,C001093,C001105,C001107,C001121,C001121,C001131
C000979,C000877,D000044,D000183,D000294,D000217,D000185,D000222,D000185,D000191,D000064,D000064,C001040,C001048,C001050,C001057,C001062,C001065,C001072,C001094,C001106,C001108,C001122,C001125,C001132
C001006,C000979,D000064,D000185,D000326,D000222,D000191,D000267,D000191,D000203,D000136,D000096,D000046,C001049,C001051,C001058,C001063,C001066,C001075,C001095,C001107,C001109,C001123,C001126,C001133
D000017,C000992,D000125,D000203,D000327,D000259,D000203,D000294,D000203,D000209,D000168,D000114,D000064,C001055,C001052,C001059,C001064,C001067,C001076,C001096,C001108,C001110,C001124,C001127,C001134
D000030,C001006,D000131,D000209,D000355,D000267,D000209,D000326,D000209,D000216,D000191,D000136,D000096,C001056,C001053,C001060,C001065,C001068,C001077,C001097,D000096,C001111,D000096,C001128,C001135
D000037,D000017,D000183,D000222,D000366,D000294,D000217,D000327,D000216,D000217,D000203,D000168,D000114,D000064,C001055,C001061,C001066,C001069,C001078,C001098,D000191,C001112,D000191,D000032,D000032
D000038,D000030,D000185,D000231,D000373,D000326,D000222,D000355,D000217,D000222,D000216,D000191,D000136,D000096,C001056,C001062,C001067,C001070,C001080,C001099,D000197,C001113,D000197,D000096,D000096
D000041,D000037,D000203,D000259,D000388,D000327,D000267,D000366,D000222,D000267,D000217,D000197,D000168,D000114,C001057,C001063,C001068,C001071,C001081,C001100,D000216,C001114,D000216,D000191,D000197
D000043,D000038,D000222,D000267,D000401,D000355,D000294,D000373,D000267,D000275,D000222,D000210,D000191,D000136,C001058,C001064,C001069,C001072,C001082,C001101,D000399,C001115,D000399,D000197,D000216
D000125,D000043,D000259,D000269,D000407,D000359,D000326,D000388,D000326,D000299,D000275,D000216,D000197,D000168,D000064,D000096,C001070,C001074,C001083,C001102,D000482,D000096,D000482,D000216,D000230
D000203,D000125,D000267,D000326,D000416,D000366,D000327,D000401,D000327,D000312,D000294,D000217,D000210,D000191,D000096,D000114,C001071,C001075,C001084,D000096,D000533,D000191,D000563,D000399,D000399
D000209,D000185,D000269,D000327,D000432,D000373,D000355,D000407,D000355,D000327,D000299,D000222,D000216,D000197,D000114,D000136,C001072,C001076,C001085,D000191,D000563,D000197,D000598,D000482,D000530
D000211,D000203,D000279,D000355,D000466,D000388,D000359,D000416,D000366,D000355,D000312,D000275,D000217,D000210,D000136,D000168,C001073,C001077,C001086,D000197,D000598,D000216,D000600,D000563,D000563
D000222,D000209,D000326,D000366,D000471,D000401,D000366,D000432,D000373,D000373,D000327,D000294,D000275,D000216,D000168,D000191,C001074,C001078,C001087,D000216,D000600,D000399,D000610,D000600,D000594
D000255,D000211,D000327,D000373,D000492,D000407,D000373,D000435,D000388,D000388,D000355,D000299,D000294,D000217,D000191,D000197,D000096,C001079,C001088,D000355,D000604,D000482,D000614,D000610,D000600
D000267,D000222,D000344,D000388,D000534,D000416,D000388,D000451,D000401,D000401,D000373,D000312,D000299,D000275,D000197,D000210,D000136,C001080,C001089,D000399,D000607,D000533,D000615,D000615,D000615
D000269,D000255,D000355,D000401,D000563,D000432,D000401,D000471,D000407,D000407,D000388,D000327,D000312,D000294,D000210,D000216,D000168,C001081,D000096,D000482,D000610,D000563,D000616,D000616,D000616
D000279,D000267,D000373,D000407,D000566,D000435,D000407,D000492,D000416,D000424,D000399,D000355,D000327,D000299,D000216,D000217,D000191,C001088,D000191,D000533,D000612,D000598,D000617,D000617,D000617
D000326,D000269,D000388,D000416,D000586,D000466,D000416,D000533,D000424,D000429,D000401,D000373,D000355,D000327,D000217,D000294,D000197,D000096,D000197,D000563,D000613,D000600,D000618,D000618,D000618
D000344,D000279,D000401,D000432,D000592,D000471,D000432,D000563,D000429,D000432,D000407,D000388,D000373,D000355,D000275,D000299,D000210,D000168,D000216,D000598,D000614,D000604,D000619,D000619,D000622
D000355,D000326,D000407,D000435,D000593,D000492,D000435,D000566,D000432,D000435,D000424,D000399,D000388,D000388,D000294,D000327,D000216,D000191,D000327,D000600,D000615,D000607,D000622,D000622,D000623
D000388,D000327,D000416,D000446,E000004,D000534,D000466,D000586,D000435,D000492,D000429,D000407,D000399,D000399,D000299,D000355,D000299,D000197,D000355,D000604,D000616,D000610,D000623,D000623,D000624
