bioguide_id,chamber,congress_number,region_type,region_code,party,start_date,end_date
R000598,Representative,114,State,PA,Republican,2015-01-03,2017-01-02
R000599,Representative,114,State,CA,Democrat,2015-01-03,2017-01-02
R000600,Delegate,114,Territory,AS,Republican,2015-01-03,2017-01-02
R000601,Representative,114,State,TX,Republican,2015-01-03,2017-01-02
R000602,Representative,114,State,NY,Democrat,2015-01-03,2017-01-02
R000603,Representative,114,State,NC,Republican,2015-01-03,2017-01-02
R000604,Representative,114,State,OK,Republican,2015-01-03,2017-01-02
R000605,Senator,114,State,SD,Republican,2015-01-03,2017-01-02
S000018,Representative,114,State,AZ,Republican,2015-01-03,2017-01-02
S000030,Representative,114,State,CA,Democrat,2015-01-03,2017-01-02
S000033,Senator,114,State,VT,Independent,2015-01-03,2017-01-02
S000148,Senator,114,State,NY,Democrat,2015-01-03,2017-01-02
S000185,Representative,114,State,VA,Democrat,2015-01-03,2017-01-02
S000244,Representative,114,State,WI,Republican,2015-01-03,2017-01-02
S000248,Representative,114,State,NY,Democrat,2015-01-03,2017-01-02
S000250,Representative,114,State,TX,Republican,2015-01-03,2017-01-02
S000320,Senator,114,State,AL,Republican,2015-01-03,2017-01-02
S000344,Representative,114,State,CA,Democrat,2015-01-03,2017-01-02
S000364,Representative,114,State,IL,Republican,2015-01-03,2017-01-02
S000480,Representative,114,State,NY,Democrat,2015-01-03,2017-01-02
S000510,Representative,114,State,WA,Democrat,2015-01-03,2017-01-02
S000522,Representative,114,State,NJ,Republican,2015-01-03,2017-01-02
S000583,Representative,114,State,TX,Republican,2015-01-03,2017-01-02
S000770,Senator,114,State,MI,Democrat,2015-01-03,2017-01-02
S001141,Senator,114,State,AL,Republican,2015-01-03,2017-01-02
S001145,Representative,114,State,IL,Democrat,2015-01-03,2017-01-02
S001148,Representative,114,State,ID,Republican,2015-01-03,2017-01-02
S001150,Representative,114,State,CA,Democrat,2015-01-03,2017-01-02
S001154,Representative,114,State,PA,Republican,2015-01-03,2017-01-02
S001156,Representative,114,State,CA,Democrat,2015-01-03,2017-01-02
S001157,Representative,114,State,GA,Democrat,2015-01-03,2017-01-02
S001165,Representative,114,State,NJ,Democrat,2015-01-03,2017-01-02
S001168,Representative,114,State,MD,Democrat,2015-01-03,2017-01-02
S001172,Representative,114,State,NE,Republican,2015-01-03,2017-01-02
S001175,Representative,114,State,CA,Democrat,2015-01-03,2017-01-02
S001176,Representative,114,State,LA,Republican,2015-01-03,2017-01-02
S001177,Delegate,114,Territory,MP,Democrat,2015-01-03,2017-01-02
S001179,Representative,114,State,IL,Republican,2015-01-03,2015-03-31
S001180,Representative,114,State,OR,Democrat,2015-01-03,2017-01-02
S001181,Senator,114,State,NH,Democrat,2015-01-03,2017-01-02
